dc_id,name,provider,state,latitude,longitude,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,est_mw,wet_bulb_c,climate_adj,est_liters_per_day,v1_predicted_wue,bws_score,bws_category
DC-00030,Apple Inc.: Reno Data Center,Apple Inc.,NV,39.4548195014176,-119.75492894772928,hyperscaler_self,True,False,False,50.0,5.205479452054795,1.0,1058400.0,0.64711654,2.146,Medium-High
DC-00031,Amazon AWS: New Albany Innovation Campus Way,Amazon AWS,OH,40.08843982528924,-82.73012218446259,hyperscaler_self,True,False,False,50.0,8.650684931506849,1.0,1058400.0,0.5860967,1.279,Low-Medium
DC-00032,Microsoft Azure: West US 3-Arizona,Microsoft Azure,AZ,33.565487088235294,-112.3375524117647,hyperscaler_self,True,False,False,50.0,12.570958904109588,1.0,1058400.0,1.3018974,3.487,High
DC-00033,Iron Mountain Data Centers: AZP - 1 - Phoenix Data Center,Iron Mountain Data Centers,AZ,33.4547001,-111.97624000293212,colocation_major,False,True,False,41.0,12.563561643835616,1.0,867888.0,1.2515979,3.487,High
DC-00034,DataBank: DFW3 - Plano Data Center,DataBank,TX,33.085227685975575,-96.81243463687385,colocation_major,False,True,False,13.5,15.00027397260274,1.000008219178082,285770.3487780821,0.9444843,2.681,Medium-High
DC-00035,Amazon AWS: 5113 Hayden Run,Amazon AWS,OH,40.06182978685651,-83.13857184313851,hyperscaler_self,True,False,False,50.0,9.055616438356164,1.0,1058400.0,0.6012412,1.279,Low-Medium
DC-00036,Telefonica Global Solutions: Miami KeyCenter,Telefonica Global Solutions,FL,25.79617075,-80.37981073067186,colocation_secondary,False,False,True,12.0,21.46246575342466,1.19387397260274,303263.0910246576,0.8384825,2.559,Medium-High
DC-00037,Amazon AWS: PDX80 Hermiston OR,Amazon AWS,OR,45.8404101,-119.28946,hyperscaler_self,True,False,False,50.0,7.830684931506849,1.0,1058400.0,0.4890291,1.569,Low-Medium
DC-00038,Amazon AWS: Dublin OH,Amazon AWS,OH,40.090437313529456,-83.20011722976207,hyperscaler_self,True,False,False,35.0,8.882465753424658,1.0,740880.0,0.6003178,1.279,Low-Medium
DC-00039,Equinix: SV1 San Jose Data Center,Equinix,CA,37.24160355,-121.78331850529646,colocation_major,False,True,False,4.0,11.261643835616438,1.0,84672.0,0.83450365,3.724,High
DC-00040,QTS Data Centers: Piscataway Data Center,QTS Data Centers,NJ,40.5574623,-74.48445497022735,colocation_major,False,True,False,52.0,9.684109589041096,1.0,1100736.0,0.5158759,2.797,Medium-High
DC-00041,PhoenixNAP: Phoenix Data Center,PhoenixNAP,AZ,33.41607765,-112.00935996881752,colocation_major,False,True,False,20.0,12.55972602739726,1.0,423360.0,1.2213203,3.487,High
DC-00042,Equinix: DC6 Ashburn Data Center,Equinix,VA,39.0149639,-77.45878957525659,colocation_major,False,True,False,7.5,10.42958904109589,1.0,158759.99999999997,0.5798735,1.94,Low-Medium
DC-00043,Equinix: DC3 Ashburn Data Center,Equinix,VA,39.0220753,-77.46078439252335,colocation_major,False,True,False,5.5,10.42958904109589,1.0,116424.0,0.5798735,1.94,Low-Medium
DC-00044,"Meta, Inc.: Sarpy Nebraska Data Center","Meta, Inc.",NE,41.11071791738093,-96.13865612384616,hyperscaler_self,True,False,False,50.0,8.37945205479452,1.0,1058400.0,0.5947255,3.16,High
DC-00045,Equinix: CH1 Chicago Data Center,Equinix,IL,41.85375365,-87.6183797609595,colocation_major,False,True,False,6.0,8.263561643835615,1.0,127008.0,0.53570706,0.75,Low
DC-00046,Centersquare: Phoenix ( PHX1 - Mesa) Data Center,Centersquare,AZ,33.4212556,-111.85900104986746,colocation_major,False,True,False,14.0,12.60958904109589,1.0,296351.99999999994,1.1201614,3.487,High
DC-00047,Centersquare: Chicago (CH1-Lisle) Data Center,Centersquare,IL,41.8023406,-88.09488559911235,colocation_major,False,True,False,15.0,7.928493150684932,1.0,317519.99999999994,0.53570706,0.75,Low
DC-00048,Equinix: SV5 San Jose Data Center,Equinix,CA,37.24189425,-121.78159761972708,colocation_major,False,True,False,15.0,11.293150684931506,1.0,317519.99999999994,0.83450365,3.724,High
DC-00049,"Google: Council Bluffs, IA Data Center",Google,IA,41.219787310543765,-95.86669189476514,hyperscaler_self,True,False,False,50.0,8.313150684931507,1.0,1058400.0,0.58860135,0.756,Low
DC-00050,CyrusOne: CIN5 Cincinnati North Cincinnati Data Center,CyrusOne,OH,39.39004085714286,-84.21535134693877,colocation_major,False,True,False,14.0,9.552328767123289,1.0,296351.99999999994,0.59101576,1.279,Low-Medium
DC-00051,Digital Realty: Dallas DFW11 Data Center,Digital Realty,TX,33.0213677755102,-96.843649,colocation_major,False,True,False,10.0,15.052876712328768,1.001586301369863,212015.7882739725,0.9444843,2.681,Medium-High
DC-00052,CyrusOne: DFW1 Dallas Carrollton Data Center,CyrusOne,TX,32.9930675,-96.9320286,colocation_major,False,True,False,90.0,15.2013698630137,1.006041095890411,1916629.0126027395,0.9444843,2.681,Medium-High
DC-00053,Equinix: NY9 New York Data Center,Equinix,NY,40.7408812,-74.0020865,colocation_major,False,True,False,1.7,9.82876712328767,1.0,35985.6,0.5158759,0.834,Low
DC-00054,Equinix: DC4 Ashburn Data Center,Equinix,VA,39.01631515,-77.46190270161111,colocation_major,False,True,False,6.8,10.42958904109589,1.0,143942.4,0.5798735,1.94,Low-Medium
DC-00055,Prime Data Centers: Prime Los Angeles - 4701 S. Santa Fe,Prime Data Centers,CA,34.001433522333365,-118.23030915642762,colocation_secondary,False,False,True,33.0,12.915342465753422,1.0,698544.0,1.2731755,3.724,High
DC-00056,Equinix: SV10 San Jose Data Center,Equinix,CA,37.24118895,-121.7847548396787,colocation_major,False,True,False,14.4,11.31041095890411,1.0,304819.19999999995,0.83450365,3.724,High
DC-00057,Equinix: LA4 El Segundo Data Center,Equinix,CA,33.921997876884426,-118.383118,colocation_major,False,True,False,0.5,12.90082191780822,1.0,10584.0,1.2731755,3.724,High
DC-00058,Amazon AWS: 2305 Mission College Blvd,Amazon AWS,CA,37.38872309507468,-121.9668334293932,hyperscaler_self,True,False,False,50.0,11.309863013698628,1.0,1058400.0,0.8453349,3.724,High
DC-00059,Centersquare: Dallas (DA1-Allen) Data Center,Centersquare,TX,33.0951879,-96.68356465653412,colocation_major,False,True,False,12.0,15.042739726027396,1.001282191780822,254341.69722739724,0.9444843,2.681,Medium-High
DC-00060,Equinix: NY11 Carteret Data Center,Equinix,NJ,40.58451035,-74.24333784314689,colocation_major,False,True,False,20.0,9.91808219178082,1.0,423360.0,0.5158759,2.797,Medium-High
DC-00061,Microsoft Azure: West US-California,Microsoft Azure,CA,36.7394421,-119.78483,hyperscaler_self,True,False,False,50.0,11.475616438356166,1.0,1058400.0,0.7383805,3.724,High
DC-00062,Amazon AWS: PDX2 Umatilla,Amazon AWS,OR,45.9288760244058,-119.26944264255891,hyperscaler_self,True,False,False,50.0,8.054794520547945,1.0,1058400.0,0.4890291,1.569,Low-Medium
DC-00063,DSM: Lakeland Data Center,DSM,FL,28.030004459183672,-82.04538540816327,colocation_secondary,False,False,True,10.0,19.374246575342468,1.131227397260274,239458.2154520548,0.99239194,2.559,Medium-High
DC-00064,Telehouse: New York Teleport Data Center,Telehouse,NY,40.60454853443792,-74.17789856456419,colocation_secondary,False,False,True,10.0,9.91808219178082,1.0,211680.0,0.5158759,0.834,Low
DC-00065,Amazon AWS: Hilliard 5109 Hayden Run,Amazon AWS,OH,40.061855524571,-83.13842356209233,hyperscaler_self,True,False,False,50.0,9.055616438356164,1.0,1058400.0,0.6012412,1.279,Low-Medium
DC-00066,Amazon AWS: IAD12 Sterling,Amazon AWS,VA,38.98872415,-77.4476618513777,hyperscaler_self,True,False,False,50.0,10.42958904109589,1.0,1058400.0,0.62426853,1.94,Low-Medium
DC-00067,Amazon AWS: 7400 Potranco Rd,Amazon AWS,TX,29.4532,-98.6371074,hyperscaler_self,True,False,False,12.0,17.13643835616438,1.0640931506849314,270296.6857643835,1.0166605,2.681,Medium-High
DC-00068,Equinix: DA1 Dallas Data Center,Equinix,TX,32.800965950000005,-96.81952300449768,colocation_major,False,True,False,3.0,15.338630136986302,1.010158904109589,64149.13104657534,0.9444843,2.681,Medium-High
DC-00069,Centersquare: ORD2 (Chicago) Elk Grove Village Data Center Campus,Centersquare,IL,41.99231745,-87.95823232669878,colocation_major,False,True,False,11.6,7.767123287671233,1.0,245548.8,0.50526863,0.75,Low
DC-00070,Vantage Data Centers: AZ1 Phoenix Data Center,Vantage Data Centers,AZ,33.446455650000004,-112.373884470172,colocation_major,False,True,False,32.0,12.35890410958904,1.0,677376.0,1.1803935,3.487,High
DC-00071,Equinix: AT1 Atlanta IBX Data Center,Equinix,GA,33.758551,-84.387703,colocation_major,False,True,False,4.5,13.568767123287673,1.0,95256.0,1.1034696,1.889,Low-Medium
DC-00072,Centersquare: Secaucus (NYC3) Data Center,Centersquare,NJ,40.78765239836318,-74.0670876535633,colocation_major,False,True,False,12.0,9.734246575342466,1.0,254016.0,0.5158759,2.797,Medium-High
DC-00073,Expedient: Indianapolis Carmel Data Center,Expedient,IN,39.96118928333333,-86.14763138333333,colocation_secondary,False,False,True,4.4,9.124383561643835,1.0,93139.2,0.59101576,1.384,Low-Medium
DC-00074,"Meta, Inc.: Fort Worth Data Center","Meta, Inc.",TX,32.983782899999994,-97.26111316489428,hyperscaler_self,True,False,False,50.0,14.76054794520548,1.0,1058400.0,0.9478951,2.681,Medium-High
DC-00075,Equinix: DA11 Dallas IBX Data Center,Equinix,TX,32.801719620740656,-96.8243167416536,colocation_major,False,True,False,20.0,15.338630136986302,1.010158904109589,427660.87364383566,0.9444843,2.681,Medium-High
DC-00076,"QTS Data Centers: East Windsor, NJ Data Center",QTS Data Centers,NJ,40.277733714868525,-74.54780027480199,colocation_major,False,True,False,12.0,9.84191780821918,1.0,254016.0,0.51069903,2.797,Medium-High
DC-00077,DSM: Phoenix Data Center,DSM,AZ,33.4484367,-112.074141,colocation_secondary,False,False,True,10.0,12.55972602739726,1.0,211680.0,1.31183,3.487,High
